make,model,license_plate,vin_code,client_name
Ford,F150,BA6398,5TDDK3DC8FS776142,Langston
Kia,Amanti,AM2515,WVWED7AJ1CW948127,Vinnie
Lincoln,Continental,SQ7617,WAUEG78EX6A041889,Mack
Toyota,Echo,AM3262,JN8AF5MR3FT727217,Averil
Subaru,Impreza,SK9178,1FMJK1JT4FE286873,Mellicent
Volvo,960,ET3337,WBSDE93462C671656,Hortensia
Toyota,Highlander,LH2851,1G4GJ5G35DF261938,Brigit
Jeep,Liberty,SK1074,1GYS3CKJ8FR599865,Regine
Volkswagen,rio,QF5185,WP1AA2A24CL069589,Vonnie
Ferrari,F430,KL7820,1FTEW1C86AF536264,Brady
Saab,900,DL5162,WAULFAFRXCA199383,Bobbette
Audi,A6,TG5220,WBAYA8C56FD091134,Kingsley
Acura,CL,AV2250,1G4HK5E93AU530129,Mariya
Volvo,C70,AF4079,WAUVT68E04A993321,Jasun
Cadillac,DeVille,AV9422,1N6AF0LY5FN614152,Bibi
Mazda,MPV,WN2403,1N6AF0KX9EN994233,Fionnula
Oldsmobile,98,SA4293,1G6KD54Y44U055160,Delila
Hyundai,Elantra,LA4328,WAUKH78E68A169520,Maison
Volvo,XC90,SQ5766,WAULT68E05A385131,Steve
Porsche,911,SK1612,1GKS1HE02DR748994,Dacey
Ford,Explorer,IB7381,JN8AF5MV1FT154105,Paxon
Infiniti,Q,EK7699,WAUJT54B73N302376,Suzann
Ford,Galaxie,AC5311,YV4952BL0E1534450,Dimitri
Honda,S2000,AA5822,2T1BU4EE3CC180853,Alla
Volvo,XC70,SA2908,1N6AF0LY0EN766791,Cary
Ford,Taurus,AA5562,WDDDJ7CB4BA860040,Ewell
GMC,1500 Club Coupe,AZ5740,2C3CA1CV6AH565524,Jessy
Buick,Somerset,SK4657,WAU3FAFR2CA232909,Codee
Maserati,GranTurismo,IB6191,5J8TB4H30FL697580,Salim
GMC,Sonoma Club Coupe,LA5926,WAUVT64BX3N134367,Lorena
Volkswagen,GTI,QR7768,1G6KD57Y25U812795,Gladi
Chevrolet,Monte Carlo,SA4231,1FMEU7EE0AU500525,Jody
Aston Martin,V8 Vantage,NH2891,WBABN33422J466887,Pryce
Volkswagen,Golf III,AZ1863,WAUDH48H87K875575,Carlie
BMW,M3,SQ2715,WA1LMAFE4ED579871,Abby
Honda,Accord,LA9878,JN8AE2KP4E9902346,Milton
Mitsubishi,Montero,NZ3672,5GAKVCED0BJ755123,Bendicty
Mazda,626,NZ5489,2C3CDXBG0EH695334,Kyrstin
Mercedes-Benz,E-Class,SQ1154,5UXZW0C53BL387527,Riordan
Mercedes-Benz,S-Class,AM9560,19XFA1F24AE570758,Allis
GMC,Suburban 2500,KE5573,JA32X2HU8DU384470,Arlette
Volvo,C70,AF4460,1G4GG5E39DF893469,Heinrik
Honda,Pilot,SQ5275,WBA3R1C55FK263952,Carola
Lamborghini,Gallardo,DL3421,WAUJT68E82A374848,Sigvard
Lincoln,Continental,NH4302,1FTWW3A51AE970123,Mela
Ford,Edge,UA8496,1FMEU5BE4AU873768,Gawain
Toyota,Corolla,LH3400,1GYEC63808R068172,Lexis
Nissan,Cube,CX2731,3D73Y3CL8BG967778,Cordelia
Hyundai,Veracruz,AV9981,1C6RD6FK3CS976104,Nerty
Mazda,MPV,CX7274,WBABD33464J415480,Tobit
Toyota,Camry,QR6336,1FMJK1FT8FE699162,Leo
Toyota,Tacoma,UA8934,4USBU33507L668177,Boris
Honda,Fit,SQ4474,JTHBE1KS6A0980784,Corette
Jeep,Liberty,WN9242,2B3CJ4DV3AH568572,Marion
Porsche,Boxster,SQ4039,WAUAF98E57A254246,Alvera
Land Rover,Range Rover,AV1860,WBAEU33452K434932,Leesa
Saab,9-3,SK8375,KMHTC6AD0DU410073,Lynnelle
Mercedes-Benz,C-Class,AI3088,3D73M3HL3AG841931,Dickie
Eagle,Talon,IB4796,1G6DB8E50E0159934,Vivianna
Kia,Sportage,DL7930,WUADUAFG4EN494716,Hughie
Nissan,Sentra,AV6446,WBAFR1C54BC603898,Yovonnda
Chevrolet,Silverado 3500,SA8769,WBAYP5C51ED084300,Nathalia
Bentley,Brooklands,QF2814,2C3CDZAT6FH725870,Daune
Pontiac,Grand Prix,EK1892,JTDJTUD31ED391487,Whit
Chrysler,Imperial,DL2173,1G6DM1ED6B0632658,Jude
Audi,100,AA6384,5UMBT93596L975482,Garrik
Infiniti,EX,KL7867,2LMHJ5FK3FB373272,Katie
Mazda,B-Series Plus,UA9016,KMHTC6AD1EU193957,Elinor
Ford,F150,UA3568,WAUDGBFLXCA413856,Stacy
Mazda,B-Series,UA3188,1YVHZ8BH3B5945566,Massimo
Honda,Prelude,AF2793,WBA5B3C57FD200588,Amabelle
Chevrolet,2500,QF1039,WAUDH94F76N757046,Edan
Ford,F-Series,SK5565,1GYS4SKJ6FR033369,Orland
BMW,3 Series,AM2471,WBANE53596C079765,Libbey
GMC,Safari,NZ4344,SAJWA1EK8EM050119,Eldridge
BMW,7 Series,QR5279,1N6AD0CUXFN800322,Lisetta
Dodge,Viper,IB8460,2T2BK1BAXBC187797,Alick
Mitsubishi,L300,NZ7915,2C3CDXEJ8EH486737,Vanya
Toyota,Supra,QF3138,SCFAD02A17G970554,Clio
Volkswagen,Passat,QR5364,5UXZW0C53BL919424,William
Bentley,Continental GTC,AF4156,WBABS33473P872543,Amitie
BMW,525,LH8821,1G6DN8EV6A0369990,Francyne
Honda,Odyssey,LA3204,1FTSF3A52AE750343,Cara
Oldsmobile,88,IB1120,WA1EY74L28D995830,Hube
Isuzu,Oasis,SA5535,1C3BC8EG4BN769695,Opaline
Pontiac,GTO,SK4478,5TDDK3DC9BS508372,Nikos
Toyota,T100,SA6231,1D7CW3BK0AS161455,Robbert
Ford,Mustang,QF4102,3D73M3HL5AG906584,Antoni
Bentley,Continental,AI5617,1G6AC5S3XD0410913,Nathan
